SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b,TREND
3743.7,0,0,0,1,1,1,0,0
2195.6,1,1,1,0,0,0,1,1
3303.8,1,1,1,1,0,0,1,1
4548.6,1,1,0,1,1,0,0,1
1274.6,0,0,0,0,1,0,0,0
1220.0,1,1,0,1,1,0,0,1
2412.2,0,0,1,0,0,0,0,1
41441.0,1,1,0,1,1,0,0,0
3419.8,1,1,0,0,1,0,0,1
2168.8,0,1,1,0,0,0,1,1
1506.4,1,1,0,1,1,1,0,1
1275.9,0,0,0,0,0,1,0,0
1155.9,0,0,1,0,0,0,1,1
4512.4,1,1,0,0,1,0,0,0
1274.9,1,1,0,1,1,0,0,0
1604.0,0,0,0,0,1,0,0,1
1983.1,0,0,1,1,0,0,1,1
1176.0,1,0,0,1,1,0,0,1
3880.2,0,0,1,0,0,0,0,0
7434.7,1,1,1,1,0,0,1,1
1802.5,1,0,0,1,1,0,0,0
1132.4,0,0,1,0,0,0,1,1
4939.0,1,1,0,1,1,0,0,0
1967.5,1,1,0,0,1,0,0,0
14194.6,0,0,1,0,0,0,0,1
1734.6,0,1,0,0,1,1,1,1
1231.4,0,0,0,0,1,0,0,0
1837.3,1,0,0,1,1,0,0,1
2060.6,1,1,0,1,1,0,0,0
2072.1,0,0,0,0,1,0,1,0
1574.2,1,1,0,1,1,1,0,0
3993.2,1,1,0,1,1,0,0,1
4707.9,0,0,1,0,0,0,1,0
2520.0,0,0,1,0,0,0,1,1
2205.0,0,0,0,0,1,1,1,0
2567.9,0,0,1,0,0,0,1,0
1581.9,0,0,1,0,0,0,1,1
1933.6,1,1,1,1,0,1,0,0
6655.8,1,1,0,0,1,1,0,0
3319.8,0,0,0,0,1,0,1,0
3487.1,1,1,0,1,1,0,0,1
1360.3,0,0,0,0,0,1,1,0
2445.2,1,1,0,0,1,1,0,0
2508.4,1,1,0,1,1,1,0,1
1980.2,1,1,1,1,0,0,0,0
1160.2,0,0,0,1,1,1,0,1
1481.5,0,0,0,0,1,1,1,0
1185.3,0,0,1,0,0,1,1,1
2537.3,1,1,0,1,1,1,0,1
1357.4,1,1,1,1,0,0,0,0
1184.8,0,0,1,0,0,0,1,1
2140.9,0,0,0,0,1,0,0,1
1399.1,1,1,1,1,0,0,0,1
1548.1,0,0,1,0,0,1,1,1
2241.5,1,1,0,1,1,1,0,0
1165.8,1,1,0,1,0,1,1,0
2000.1,1,0,0,1,1,1,0,0
2290.9,0,0,0,0,1,0,0,0
1764.5,0,0,0,1,1,1,0,1
3244.2,0,0,1,1,0,1,0,0
2317.8,1,1,0,1,1,1,0,1
2436.4,0,0,0,0,1,0,0,0
2615.9,0,1,0,0,1,0,1,0
4009.1,1,1,1,1,0,1,1,0
2720.5,0,0,1,0,0,1,1,1
3888.9,0,1,1,0,0,0,1,0
17998.6,1,1,0,1,1,0,0,0
3617.5,1,1,0,1,1,1,0,0
1778.4,0,0,0,1,1,0,0,0
2236.5,1,1,0,1,1,0,0,1
1813.5,1,1,0,1,1,1,0,0
1924.2,0,0,0,0,1,0,1,1
2320.8,1,1,1,1,0,0,0,1
1848.2,1,1,0,1,1,1,0,1
1547.3,1,0,1,1,0,0,0,1
2484.5,0,0,1,0,0,1,1,1
2196.9,0,0,0,0,1,0,0,0
1802.7,1,1,0,1,1,1,0,0
1279.9,1,1,1,0,0,1,1,0
2783.1,0,0,0,0,1,1,1,1
17813.1,0,0,0,1,1,0,1,1
1874.6,1,1,1,1,0,1,1,1
2191.0,0,0,0,0,1,1,1,0
2363.2,0,0,1,1,0,1,1,0
2593.5,0,0,0,0,1,0,0,1
1200.7,0,0,1,0,0,0,0,0
14269.3,0,0,1,0,0,0,1,0
2460.7,1,1,0,1,1,1,0,0
2555.4,1,1,0,1,1,0,0,0
2635.7,0,0,1,0,0,1,1,0
3838.7,0,0,0,0,1,1,1,1
2801.4,0,0,1,0,0,0,1,0
6805.1,1,1,1,1,0,0,1,1
5846.1,0,0,1,0,0,0,1,0
2375.1,1,0,1,1,0,0,1,1
2259.1,0,0,0,0,1,1,0,1
1208.7,1,1,0,1,1,0,0,0
1980.3,0,0,1,0,0,0,1,1
31152.0,0,0,1,0,0,0,1,1
6424.8,1,1,0,1,1,1,0,0
2556.4,0,0,0,0,1,0,0,0
2649.0,1,1,1,0,0,1,1,1
1113.3,1,0,1,1,0,0,1,1
1437.2,0,0,0,0,1,1,0,1
1168.9,0,0,1,0,0,0,1,1
1023.3,0,0,1,0,0,0,1,1
1153.6,1,1,0,0,1,1,0,1
32041.0,1,0,0,1,1,1,0,0
2544.9,0,0,0,0,1,1,0,1
3170.8,1,1,0,1,1,0,0,1
2889.0,0,0,0,0,1,1,1,0
1151.8,1,1,0,0,0,1,1,1
3107.7,0,0,0,0,1,0,0,0
18598.0,1,1,1,1,0,1,1,0
2205.3,1,1,0,1,1,1,0,0
1470.5,1,1,1,1,0,0,0,1
1911.0,0,0,0,0,1,0,0,1
2492.3,1,1,1,1,0,0,0,1
4535.9,1,1,0,1,1,1,0,0
1489.8,1,1,0,1,1,0,0,0
3360.9,0,0,1,0,0,1,1,0
1826.1,1,1,1,1,0,0,0,0
1868.6,0,1,1,0,0,0,1,1
1907.7,0,0,1,0,0,1,1,0
5327.7,0,0,0,0,1,0,0,1
1484.5,1,1,0,1,1,1,0,1
1499.5,0,0,0,0,1,0,0,1
40594.0,1,1,1,0,0,0,0,0
3718.7,0,0,1,0,0,0,1,0
1902.5,0,0,1,1,0,0,1,0
3184.3,1,1,0,1,1,0,0,0
2071.2,0,0,0,0,1,1,1,0
1528.5,1,1,0,1,1,0,0,0
34826.0,1,1,1,1,0,0,0,1
2053.9,1,1,1,1,0,1,1,1
2259.1,0,0,0,0,1,1,0,1
1216.4,0,0,0,0,0,0,0,1
2655.7,1,1,0,0,1,1,0,0
2375.1,1,0,1,1,0,0,1,1
33334.0,1,1,0,1,1,0,0,1
2488.3,1,1,0,1,1,0,0,1
2205.3,1,1,0,1,1,1,0,0
2917.1,1,1,1,1,0,1,0,1
3586.1,1,1,1,1,0,0,1,1
1027.1,0,0,0,1,1,1,0,1
1882.7,0,0,1,0,0,0,1,0
1855.5,0,0,0,0,1,0,0,0
2101.2,0,0,1,0,0,0,1,1
1148.2,0,1,0,0,1,0,1,0
2811.4,1,1,0,1,1,1,0,0
1206.5,1,1,0,1,1,0,0,0
3112.1,1,1,0,0,1,0,0,0
1868.5,0,0,0,0,1,1,0,0
1985.4,1,1,0,1,1,1,0,0
1734.2,1,1,0,1,1,1,0,0
2342.0,0,1,0,0,1,1,0,0
1151.6,1,0,1,1,0,1,0,0
1649.4,1,1,0,0,1,0,0,0
1176.8,1,1,0,1,1,0,0,0
2763.3,1,1,0,1,1,0,0,0
1589.4,0,0,0,0,1,1,0,1
3279.3,1,0,1,1,0,0,0,1
1273.0,0,0,0,0,1,0,0,0
2015.8,0,0,1,1,0,0,1,1
2027.3,1,1,1,1,0,0,1,0
2007.6,0,0,1,0,0,0,1,0
2489.5,0,0,0,1,1,1,0,0
2813.2,0,0,0,0,0,0,1,1
1742.3,1,1,0,1,1,1,0,0
1209.3,1,1,1,0,0,0,1,1
1653.3,0,0,1,0,0,0,1,0
4678.2,0,0,0,1,1,1,0,1
4276.2,0,0,0,0,1,0,1,0
1567.2,0,1,1,1,0,0,1,1
1276.5,0,0,0,0,1,0,0,1
1717.8,1,0,0,1,1,1,0,1
2029.6,0,0,0,1,0,0,0,0
34428.0,0,0,0,0,1,0,0,0
1611.6,0,0,1,0,0,0,1,0
3157.1,0,0,1,1,0,0,0,1
2000.1,1,0,0,1,1,1,0,0
1321.1,1,1,1,1,0,1,1,1
2593.4,1,1,0,1,1,0,1,0
1537.7,1,1,0,1,1,0,0,0
2503.3,0,0,1,1,0,0,0,1
1576.2,1,1,1,1,0,0,1,1
1739.5,0,0,0,0,1,0,0,1
1753.4,1,1,1,1,0,0,0,0
2491.6,1,1,0,0,1,1,0,0
2383.2,0,0,0,1,1,0,0,1
2610.8,1,0,0,1,1,0,0,0
1546.7,1,1,0,0,1,1,0,0
3426.0,0,0,0,0,1,1,0,0
1462.3,1,1,1,1,0,0,0,0
14304.9,0,0,0,0,1,1,1,1
2959.1,0,0,1,0,0,0,1,0
1467.0,1,1,1,1,0,0,1,1
2325.2,1,1,0,1,1,1,0,0
4157.4,0,0,1,0,0,0,1,1
2936.4,0,0,0,0,1,0,0,1
2030.0,1,1,1,1,0,0,1,0
1504.9,1,0,1,1,0,1,1,0
