SMA,SMA_b,WMA_b,STCK_b,MOM_b,LWR_b,ADO_b,CCI_b
6485.5,1,1,0,1,1,1,0
6499.2,1,1,0,1,1,0,0
6487.8,1,1,0,0,1,1,0
6431.5,0,1,0,0,1,0,1
6364.9,0,0,1,0,0,0,1
6336.1,0,0,1,0,0,0,1
6323.1,0,0,1,0,0,0,1
6323.4,0,0,0,0,1,1,1
6126.2,0,0,1,0,0,0,1
5931.2,0,0,1,0,0,0,1
5714.0,0,0,1,0,0,0,1
5502.7,0,0,0,0,1,1,0
5160.4,0,0,1,0,0,0,1
4834.5,0,0,1,0,0,0,1
4529.0,0,0,0,0,1,1,1
4192.2,0,0,1,0,0,1,1
3844.5,0,0,1,0,0,1,1
3490.2,0,0,1,0,0,0,1
3334.9,0,0,0,0,1,0,1
3177.7,0,0,0,0,1,1,0
3010.4,0,0,1,0,0,0,0
2839.8,0,0,0,0,1,1,1
2803.8,0,0,0,0,1,1,1
2765.2,0,0,1,0,0,0,1
2720.7,0,0,1,0,0,0,1
2690.5,0,0,1,0,0,1,1
2658.9,0,0,0,0,1,0,0
2623.7,0,0,0,0,1,1,0
2584.8,0,0,1,0,0,0,1
2550.7,0,0,1,0,0,1,1
2529.0,0,0,1,0,0,0,1
2510.6,0,0,1,0,0,0,1
2500.2,0,0,1,0,0,0,0
2496.9,0,0,0,0,1,0,0
2498.5,0,0,0,1,1,0,1
2492.9,0,0,0,0,1,0,1
2483.6,0,0,0,0,1,1,1
2474.3,0,0,1,0,0,1,1
2472.9,0,0,0,0,1,1,0
2467.8,0,0,0,0,1,0,0
2459.6,0,0,0,0,1,1,1
2450.8,0,0,0,0,1,1,1
2441.2,0,0,0,0,1,0,0
2432.7,0,0,1,0,0,1,0
2424.6,0,0,0,0,1,0,1
2415.6,0,0,1,0,0,1,1
2413.2,0,0,0,0,1,1,1
2410.8,0,0,1,1,0,1,0
2412.7,0,0,0,1,1,1,0
2420.6,0,0,0,1,1,0,0
2429.9,1,0,0,1,1,0,0
2440.0,1,0,1,1,0,0,0
2451.5,1,0,1,1,0,0,0
2464.7,1,1,1,1,0,0,0
2511.3,1,1,0,1,1,1,0
2561.2,1,1,0,1,1,0,0
2607.7,1,1,0,1,1,0,0
2655.5,1,1,0,1,1,0,0
2696.8,1,1,0,1,1,0,0
2734.2,1,1,1,1,0,0,1
2806.0,1,1,0,1,1,1,1
2886.6,1,1,0,1,1,1,0
2977.1,1,1,0,1,1,0,0
3080.3,1,1,1,1,0,1,0
3166.3,1,1,0,1,1,0,0
3251.7,1,1,0,1,1,0,0
3320.7,1,1,0,1,1,0,0
3389.4,1,1,0,1,1,0,0
3457.5,1,1,0,1,1,0,0
3523.8,1,1,0,1,1,0,0
3555.4,1,1,0,0,1,1,1
3536.6,1,1,1,0,0,0,1
3507.2,1,1,0,0,1,1,1
3428.4,1,1,1,0,0,0,1
3331.6,0,1,1,0,0,1,1
3225.3,0,0,1,0,0,0,1
3143.5,0,0,1,0,0,0,1
3072.6,0,0,1,0,0,0,1
3011.2,0,0,0,0,1,1,0
2938.7,0,0,0,0,1,0,0
2862.9,0,0,1,0,0,0,1
2835.0,0,0,1,0,0,1,1
2807.9,0,0,1,0,0,1,1
2818.1,0,0,0,1,1,0,0
2831.7,0,0,1,1,0,0,0
2854.1,0,0,1,1,0,0,1
2875.4,0,0,1,1,0,1,0
2887.5,0,0,0,1,1,0,0
2886.4,1,0,0,0,1,0,0
2895.2,1,1,1,1,0,1,1
2911.1,1,1,1,1,0,0,1
2925.2,1,1,1,1,0,0,0
2939.1,1,1,1,1,0,0,0
2952.7,1,1,1,1,0,1,0
2974.7,1,1,0,1,1,1,0
3002.9,1,1,0,1,1,1,0
3026.6,1,1,0,1,1,0,0
3061.1,1,1,1,1,0,1,0
3112.3,1,1,0,1,1,1,0
3163.7,1,1,0,1,1,0,0
3204.0,1,1,1,1,0,0,1
3246.3,1,1,1,1,0,0,1
3298.3,1,1,1,1,0,0,1
3363.4,1,1,0,1,1,1,0
3421.1,1,1,1,1,0,1,1
3477.9,1,1,1,1,0,0,1
3541.1,1,1,0,1,1,1,0
3586.9,1,1,0,1,1,1,0
3613.7,1,1,1,1,0,1,1
3643.8,1,1,1,1,0,0,0
3683.9,1,1,1,1,0,0,1
3724.0,1,1,1,1,0,1,1
3754.0,1,1,1,1,0,0,0
3770.7,1,1,1,1,0,1,1
3790.3,1,1,0,1,1,0,1
3806.2,1,1,0,1,1,0,0
3811.6,1,1,0,1,1,0,0
3821.5,1,1,0,1,1,1,1
3837.6,1,1,0,1,1,0,0
3851.1,1,1,0,1,1,0,0
3861.5,1,1,0,1,1,1,0
3863.2,1,1,0,1,1,1,0
3864.6,1,1,0,0,1,0,0
3864.1,1,1,0,0,1,1,0
3851.8,1,1,0,0,1,1,1
3834.4,0,1,1,0,0,0,1
3816.8,0,1,1,0,0,1,1
3804.4,0,0,1,0,0,0,0
3792.2,0,0,1,0,0,1,1
3780.8,0,0,1,0,0,1,1
3769.8,0,0,1,0,0,1,0
3759.8,0,0,1,0,0,0,1
3750.0,0,0,1,0,0,1,1
3741.2,0,0,0,0,1,0,0
3737.1,0,0,0,0,1,1,1
3735.7,0,0,1,1,0,1,1
3736.4,0,0,1,1,0,1,0
3733.2,0,0,0,0,1,0,0
3730.8,0,0,0,0,1,0,0
3728.2,0,0,1,1,0,1,0
3728.9,0,0,1,1,0,0,0
3741.9,1,0,0,1,1,0,0
3755.1,1,0,0,1,1,0,0
3766.9,1,0,1,1,0,1,1
3782.9,1,1,1,1,0,0,1
3799.1,1,1,0,1,1,1,0
3813.3,1,1,0,1,1,0,0
3825.4,1,1,1,1,0,1,1
3838.4,1,1,0,1,1,0,0
3851.4,1,1,1,1,0,0,1
3865.7,1,1,1,1,0,1,0
3875.8,1,1,0,1,1,0,0
3885.8,1,1,0,1,1,0,0
3895.7,1,1,0,1,1,0,0
3905.0,1,1,1,1,0,1,1
3915.9,1,1,1,1,0,1,1
3929.3,1,1,1,1,0,0,0
3959.7,1,1,0,1,1,1,0
3987.8,1,1,0,1,1,0,0
4014.3,1,1,0,1,1,0,0
4034.9,1,1,0,1,1,1,0
4042.7,1,1,0,1,1,0,0
4045.6,1,1,0,0,1,0,0
4047.1,1,1,0,1,1,1,1
4048.1,1,1,1,1,0,1,1
4053.8,1,1,0,1,1,0,0
4056.7,1,1,0,1,1,1,0
4043.2,1,1,1,0,0,0,0
4028.6,0,1,1,0,0,0,0
4015.4,0,0,1,0,0,1,1
4003.4,0,0,1,0,0,0,1
3996.6,0,0,1,0,0,1,1
3994.4,0,0,0,0,1,1,1
3995.4,0,0,0,1,0,0,0
3997.2,0,0,0,1,1,0,0
3992.6,0,0,0,0,1,1,1
3985.6,0,0,1,0,0,0,1
3978.8,0,0,0,0,1,1,1
3973.5,0,0,0,0,1,1,1
3966.9,0,0,0,0,1,0,1
3960.1,0,0,0,0,1,1,0
3953.3,0,0,0,0,1,1,1
3946.6,0,0,0,0,1,0,0
3939.4,0,0,0,0,1,0,1
3930.8,0,0,0,0,1,1,0
3921.9,0,0,0,0,1,0,0
3915.2,0,0,0,0,1,0,0
3907.7,0,0,0,0,1,1,0
3899.4,0,0,0,0,1,0,1
3892.3,0,0,0,0,1,1,1
3884.6,0,0,1,0,0,0,1
3876.6,0,0,0,0,1,1,1
3868.9,0,0,0,0,1,1,1
3861.7,0,0,0,0,1,1,0
3854.9,0,0,1,0,0,0,1
3848.4,0,0,0,0,1,1,1
3842.2,0,0,1,0,0,1,1
3836.7,0,0,0,0,1,0,0
3832.0,0,0,0,0,1,0,1
3827.7,0,0,0,0,1,0,0
3824.1,0,0,0,0,1,1,1
3820.8,0,0,0,0,1,1,1
3816.5,0,0,0,0,0,0,1
3812.4,0,0,1,0,0,0,1
3809.3,0,0,0,0,1,0,1
3805.9,0,0,0,0,1,1,1
3802.7,0,0,1,0,0,1,1
3800.1,0,0,1,0,0,0,0
